B;G;R;level;label
36;27;231;0;1
36;84;250;1;1
37;164;255;2;1
22;205;255;3;1
38;223;221;4;1
29;214;148;5;1
0;181;76;6;2
13;156;0;7;2
92;166;0;8;2
184;191;0;9;3
200;136;1;10;3
198;76;0;11;3
180;38;51;12;3
181;22;72;13;3
140;17;57;14;3
